from;to;relationship
uvdl;fh;1
lk;fh;1
nr;fh;1
sw;fh;1
cs;fh;1
cl;fhe;1
nr;fhe;1
ks;fhe;1
lm;fhe;1
kd;fhe;1
el;fhe;1
ab;fhz;1
ft;fhz;1
am;fhz;1
agl;fhz;1
er;fhz;1
rh;fhd;1
cm;fhd;1
kp;fhd;1
rk;fhd;1
lk;fhd;1
cla;fhv;1
agl;fhv;1
sb;fhv;1
ch;fhv;1
mw;fhv;1
uvdl;cdu;2
lk;spd;2
nr;cdu;2
sw;linke;2
cl;fdp;2
ab;gruene;2
rh;gruene;2
agl;fdp;2
rk;cdu;2
cla;spd;2
os;spd;2
os;fhf;1
